[GAUGE],,,,,,,,,,
1PI3522,DEV1.D5712,1,0,0,1,MPaG,1,0,1,0
1PIA2401,DEV1.D5392,1,0,0,1,MPaG,1,0,1,0
1PIA2402,DEV1.D5456,1,0,0,1,MPaG,1,0,1,0
1PIA3501,DEV1.D4752,1,0,0,1,MPaG,1,0,1,0
1PIC1791,DEV1.D4112,1,0,0,2,MPaG,1,0,2,0
1PIC2441,DEV1.D4560,1,0,0,100,kPaG,1,0,100,0
1PV1791,DEV1.D4176,1,0,0,100,% ï¬,1,0,100,0
1PV2441,DEV1.D4624,1,0,0,100,% ï¬,1,0,100,0
1PdIA3502,DEV1.D5520,1,0,-1,1,MPaG,1,-1,1,0
1QI3521A,DEV1.D5584,1,0,0,10,ppmO2,1,0,2,0
1TI3521,DEV1.D5136,1,0,-100,100,Åé,1,-100,100,0
1TI3522,DEV1.D5840,1,0,-200,100,Åé,1,-200,100,0
1TIA2402,DEV1.D4368,1,0,0,300,Åé,1,0,300,0
1TIC2401,DEV1.D4240,1,0,-50,100,Åé,1,-50,100,0
1TIC2403,DEV1.D4432,1,0,-50,100,Åé,1,-50,100,0
1TIC2441,DEV1.D4688,1,0,0,300,Åé,1,0,300,0
1WI0000,DEV1.D5776,1,0,0,320,kWh,1,0,320,0
2FI1,DEV1.D11344,1,0,0,2000,m3/h(N),1,-200,2200,0
2FIC2441,DEV1.D9040,1,0,0,1000,m3/h(N),1,0,1000,0
2FIC3521,DEV1.D9296,1,0,0,1000,m3/h(N),1,0,1000,0
2FQ3521H,DEV1.D11281,1,0,0,10000,m3(S),1,-500,10500,0
2FQ3521L,DEV1.D11280,1,0,0,10000,m3(S),1,-500,10500,0
2FV2441,DEV1.D9104,1,0,0,100,%,1,0,100,0
2FV3521,DEV1.D9360,1,0,0,100,%,1,0,100,0
2LIC3501,DEV1.D8912,1,0,0,100,%,1,0,100,0
2LV3501,DEV1.D8976,1,0,0,100,%,1,0,100,0
2PI3521,DEV1.D9168,1,0,0,1,MPaG,1,0,1,0
2PI3522,DEV1.D9808,1,0,0,1,MPaG,1,0,1,0
2PIA2401,DEV1.D9488,1,0,0,1,MPaG,1,0,1,0
2PIA2402,DEV1.D9552,1,0,0,1,MPaG,1,0,1,0
2PIA3501,DEV1.D8848,1,0,0,1,MPaG,1,0,1,0
2PIC1791,DEV1.D8208,1,0,0,2,MPaG,1,0,2,0
2PIC2441,DEV1.D8656,1,0,0,100,kPaG,1,0,100,0
2PV1791,DEV1.D8272,1,0,0,100,% ï¬,1,0,100,0
2PV2441,DEV1.D8720,1,0,0,100,% ï¬,1,0,100,0
2PdIA3502,DEV1.D9616,1,0,-1,1,MPaG,1,-1,1,0
2QI3521A,DEV1.D9680,1,0,0,10,ppmO2,1,0,2,0
2TI3521,DEV1.D9232,1,0,-100,100,Åé,1,-100,100,0
2TI3522,DEV1.D9936,1,0,-200,100,Åé,1,-200,100,0
2TIA2402,DEV1.D8464,1,0,0,300,Åé,1,0,300,0
2TIC2401,DEV1.D8336,1,0,-50,100,Åé,1,-50,100,0
2TIC2403,DEV1.D8528,1,0,-50,100,Åé,1,-50,100,0
2TIC2441,DEV1.D8784,1,0,0,300,Åé,1,0,300,0
2WI0000,DEV1.D9872,1,0,0,320,kWh,1,0,320,0
A-FI1,DEV2.D7248,1,0,0,2000,m3/h(N),1,-200,2200,0
A-FIC2441,DEV2.D4944,1,0,0,1000,m3/h(N),1,0,1000,0
A-FIC3521,DEV2.D5200,1,0,0,1000,m3/h(N),1,0,1000,0
A-FQ3521H,DEV2.D7185,1,0,0,10000,m3(S),1,-500,10500,0
A-FQ3521L,DEV2.D7184,1,0,0,10000,m3(S),1,-500,10500,0
A-FV2441,DEV2.D5008,1,0,0,100,%,1,0,100,0
A-FV3521,DEV2.D5264,1,0,0,100,%,1,0,100,0
A-LIC3501,DEV2.D4816,1,0,0,100,%,1,0,100,0
A-LV3501,DEV2.D4880,1,0,0,100,%,1,0,100,0
A-PI3521,DEV2.D5072,1,0,0,1,MPaG,1,0,1,0
A-PI3522,DEV2.D5712,1,0,0,1,MPaG,1,0,1,0
A-PIA2401,DEV2.D5392,1,0,0,1,MPaG,1,0,1,0
A-PIA2402,DEV2.D5456,1,0,0,1,MPaG,1,0,1,0
A-PIA3501,DEV2.D4752,1,0,0,1,MPaG,1,0,1,0
A-PIC1791,DEV2.D4112,1,0,0,2,MPaG,1,0,2,0
